City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
135,Batticaloa,LK,2021-08-08 23:59:50,7.7102,81.6924,overcast clouds,78.6,81,100,3.53
136,Hofn,IS,2021-08-08 23:50:15,64.2539,-15.2082,few clouds,55.89,75,13,2.48
137,La Palma,US,2021-08-08 23:57:42,33.8464,-118.0467,clear sky,104.04,61,1,8.99
138,Wonthaggi,AU,2021-08-08 23:59:51,-38.6044,145.5913,overcast clouds,52.72,68,91,5.68
139,Khanpur,PK,2021-08-08 23:59:51,28.6453,70.6567,clear sky,89.26,49,0,15.82
140,Broken Hill,AU,2021-08-08 23:58:44,-31.95,141.4333,clear sky,49.71,62,0,8.05
141,Vrangel,RU,2021-08-08 23:59:51,42.7297,133.0839,overcast clouds,68.4,79,100,8.86
142,Axim,GH,2021-08-08 23:58:08,4.8699,-2.2405,broken clouds,75.99,88,74,10.71
143,Constitucion,CL,2021-08-08 23:57:55,-35.3333,-72.4167,overcast clouds,48.25,72,100,2.62
144,Fort Nelson,CA,2021-08-08 23:59:52,58.8053,-122.7002,broken clouds,72.99,56,75,5.75
145,Kununurra,AU,2021-08-08 23:59:52,-15.7667,128.7333,clear sky,71.58,30,1,5.75
146,Mersing,MY,2021-08-08 23:59:53,2.4312,103.8405,overcast clouds,73.31,94,95,6.91
147,Hamilton,US,2021-08-08 23:56:17,39.1834,-84.5333,few clouds,86.56,62,24,3.0
148,Husavik,IS,2021-08-08 23:59:53,66.0449,-17.3389,scattered clouds,49.91,85,47,0.56
149,Taoudenni,ML,2021-08-08 23:59:53,22.6783,-3.9836,clear sky,100.63,10,9,14.41
150,Bure,ET,2021-08-08 23:59:54,10.7,37.0667,broken clouds,52.86,97,75,3.0
151,Enshi,CN,2021-08-08 23:59:54,30.3,109.4833,light rain,74.64,99,100,0.96
152,Terney,RU,2021-08-08 23:59:54,45.0503,136.6092,overcast clouds,65.35,69,100,14.83
153,Tonantins,BR,2021-08-08 23:58:50,-2.8731,-67.8022,overcast clouds,75.69,84,98,2.86
154,Astana,KZ,2021-08-08 23:55:13,51.1801,71.446,clear sky,58.95,72,0,6.71
155,Aklavik,CA,2021-08-08 23:59:55,68.2191,-135.0107,few clouds,57.92,41,11,4.12
156,Okha,RU,2021-08-08 23:50:38,53.5739,142.9478,clear sky,60.49,57,8,2.64
